书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
这些人，那些事,吴念真,译林出版社,2011-9,28.0,8.8,69776,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/,2011.0,吴念真,,5-10万,20-40元,2010.0年代,8.5-9分优秀,1,1,42.62461341009829,"['平淡叙述', '下的惊心', '动魄']"
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,王永年,上海译文出版社,7.0,8.9,54425,一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/,,[阿根廷] 豪·路·博尔赫斯,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.148606095646876,"['谜底正是', '一个谜语', '时间']"
大明王朝1566,刘和平,花城出版社,2016-7,88.0,9.5,19261,,https://book.douban.com/subject/26925171/,2016.0,刘和平,,1-5万,60-100元,2010.0年代,9分以上神作,3,1,40.70444889679588,[]
2001：太空漫游,[英] 阿瑟·克拉克,郝明义,上海文艺出版社,10.0,9.3,25893,,https://book.douban.com/subject/30471298/,,[英] 阿瑟·克拉克,,1-5万,0-20元,未知,9分以上神作,1,1,41.042596053365756,[]
绿毛水怪,王小波,时代文艺出版社,2009-1,30.0,9.1,27239,我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/3518332/,2009.0,王小波,,1-5万,20-40元,2000.0年代,9分以上神作,1,4,40.360239553135116,"['在池塘的', '从一个月', '亮走向另']"
长日将尽,[英] 石黑一雄,冯涛,上海译文出版社,5.0,8.9,43953,,https://book.douban.com/subject/30142261/,,[英] 石黑一雄,,1-5万,0-20元,未知,8.5-9分优秀,1,1,41.32259785534619,[]
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,草婴,上海文艺出版社,8.0,9.2,35276,,https://book.douban.com/subject/2253380/,,[俄] 列夫·托尔斯泰,,1-5万,0-20元,未知,9分以上神作,1,1,41.83680987216544,[]
海的女儿,安徒生,叶君健,上海译文出版社,6.0,9.1,27786,,https://book.douban.com/subject/1765512/,,安徒生,,1-5万,0-20元,未知,9分以上神作,2,1,40.43881688553558,[]
你当像鸟飞往你的山,塔拉·韦斯特弗,任爱红,南海出版公司,10.0,8.7,218490,我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/33440205/,,塔拉·韦斯特弗,,10-50万,0-20元,未知,8.5-9分优秀,1,1,46.45305461266321,"['人能想象', '我来自一', '我新世界']"
半生缘,张爱玲,北京十月文艺出版社,2012-6-1,29.6,9.1,38274,,https://book.douban.com/subject/10757938/,2012.0,张爱玲,,1-5万,20-40元,2010.0年代,9分以上神作,7,3,41.704425058060345,[]
故事,[美] 罗伯特·麦基,周铁东,天津人民出版社,9.0,9.2,21640,材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/25976544/,,[美] 罗伯特·麦基,,1-5万,0-20元,未知,9分以上神作,1,1,39.88436675919769,"['风格和银', '材质', '结构']"
阿勒泰的角落,李娟,万卷出版公司,2010-6,25.0,9.1,24283,白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/,2010.0,李娟,,1-5万,20-40元,2010.0年代,9分以上神作,1,4,39.90625129269248,"['白雪和阳', '桦林', '青草和白']"
强风吹拂,三浦紫苑,林佩瑾,广西师范大学出版社,1.0,9.0,33751,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/26210487/,,三浦紫苑,,1-5万,0-20元,未知,9分以上神作,2,1,40.75457980464953,"['弃跑步', '明明这么', '这么难过']"
经济学原理（上下）,[美] 曼昆,梁小民,机械工业出版社,8.0,9.1,23694,经济学家们的世界观,https://book.douban.com/subject/1028842/,,[美] 曼昆,,1-5万,0-20元,未知,9分以上神作,1,1,39.80920929549371,"['们的世界', '经济学家']"
鹿川有许多粪,李沧东,春喜,武汉大学出版社,8.0,8.9,40875,,https://book.douban.com/subject/35517022/,,李沧东,,1-5万,0-20元,未知,8.5-9分优秀,1,1,41.04197411444825,[]
國史大綱（上下）,錢穆,商务印书馆,2013-8,76.0,9.4,17527,钱穆中国通史,https://book.douban.com/subject/1046492/,2013.0,錢穆,,1-5万,60-100元,2010.0年代,9分以上神作,2,1,39.89085131462083,"['钱穆中国', '通史']"
天朝的崩溃,茅海建,生活·读书·新知三联书店,2014-10,59.0,9.4,17998,,https://book.douban.com/subject/25935941/,2014.0,茅海建,,1-5万,40-60元,2010.0年代,9分以上神作,13,1,39.999107926310536,[]
万水千山走遍,三毛,哈尔滨出版社,2003-08,13.8,8.9,48580,从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1036490/,2003.0,三毛,,1-5万,0-20元,2000.0年代,8.5-9分优秀,4,6,41.7094718431751,"['从遥远的', '撒哈拉到', '敦煌戈壁']"
温柔的夜,三毛,北京十月文艺出版社,2007-5,28.0,9.1,25246,三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/,2007.0,三毛,,1-5万,20-40元,2000.0年代,9分以上神作,7,6,40.05995245869728,"['纳利群岛', '三毛在加', '的生活']"
苏菲的世界,[挪] 乔斯坦·贾德,萧宝森,作家出版社,10.0,8.8,63114,哲学启蒙书,https://book.douban.com/subject/2284311/,,[挪] 乔斯坦·贾德,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.2411062083446,['哲学启蒙']
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,管延圻,中信出版社,24.0,8.8,64375,完美主义者的最高形态,https://book.douban.com/subject/6798611/,,[美] 沃尔特·艾萨克森,,5-10万,20-40元,未知,8.5-9分优秀,1,1,42.316711730033376,"['形态', '完美主义', '者的最高']"
冰与火之歌,[美]乔治·R.R.马丁,谭光磊,重庆出版社,1.0,9.5,21348,乔治·R·R·马丁史诗奇幻小说,https://book.douban.com/subject/25826936/,,[美]乔治·R.R.马丁,,1-5万,0-20元,未知,9分以上神作,1,1,41.128893344249725,"['乔治', '奇幻小说', '马丁史诗']"
一个陌生女人的来信,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,7.0,8.7,154357,暗恋的极致,https://book.douban.com/subject/2154960/,,[奥] 斯蒂芬·茨威格,,10-50万,0-20元,未知,8.5-9分优秀,2,2,45.1401790646175,['暗恋的极']
全球通史,斯塔夫里阿诺斯,吴象婴,北京大学出版社,1.0,9.0,25171,,https://book.douban.com/subject/10583099/,,斯塔夫里阿诺斯,,1-5万,0-20元,未知,9分以上神作,1,1,39.608104226891726,[]
东晋门阀政治,田余庆,北京大学出版社,2012-5,49.0,9.5,17049,,https://book.douban.com/subject/10758290/,2012.0,田余庆,,1-5万,40-60元,2010.0年代,9分以上神作,2,1,40.20113965226173,[]
生死疲劳,莫言,浙江文艺出版社,2021-11,69.9,9.0,60588,,https://book.douban.com/subject/35587028/,2021.0,莫言,,5-10万,60-100元,2020.0年代,9分以上神作,2,2,43.041479550688,[]
爱的艺术,[美] 艾·弗洛姆,李健鸣,上海译文出版社,4.0,8.8,55481,谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/,,[美] 艾·弗洛姆,,5-10万,0-20元,未知,8.5-9分优秀,1,1,41.74846966644097,"['谦恭地', '真诚地和', '勇敢地']"
亮剑,都梁,解放军文艺出版社,2005-3,28.0,9.0,33789,面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/1088022/,2005.0,都梁,,1-5万,20-40元,2000.0年代,9分以上神作,1,1,40.75897804949654,"['也要毅然', '的对手', '明知不敌']"
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇,方祖芳,花城出版社,15.0,9.2,21603,真实记录切尔诺贝利核灾难事件,https://book.douban.com/subject/25884880/,,[白俄] S·A·阿列克谢耶维奇,,1-5万,0-20元,未知,9分以上神作,1,1,39.877529403893185,"['切尔诺贝', '真实记录', '利核灾难']"
球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.0,8.7,95184,量子之外，没有真相,https://book.douban.com/subject/1192090/,2005.0,刘慈欣,,5-10万,20-40元,2000.0年代,8.5-9分优秀,1,2,43.313506378753736,"['量子之外', '没有真相']"
草房子,曹文轩,江苏少年儿童出版社,2009-6,18.0,9.0,61109,男孩桑桑刻骨铭心、终身难忘的六年小学生活,https://book.douban.com/subject/1052990/,2009.0,曹文轩,,5-10万,0-20元,2000.0年代,9分以上神作,1,1,43.07494659205939,"['学生活', '刻骨铭心', '的六年小']"
德米安,[德] 赫尔曼·黑塞,丁君君,上海人民出版社,3.0,8.9,44173,少年辛克莱寻找通向自身之路的艰辛历程,https://book.douban.com/subject/3578470/,,[德] 赫尔曼·黑塞,,1-5万,0-20元,未知,8.5-9分优秀,1,2,41.341896367977434,"['莱寻找通', '历程', '向自身之']"
不能承受的生命之轻,米兰·昆德拉,许钧,上海译文出版社,8.0,8.8,50319,,https://book.douban.com/subject/4920007/,,米兰·昆德拉,,5-10万,0-20元,未知,8.5-9分优秀,1,1,41.37524161494238,[]
古文观止,吴楚材,中华书局,1987-1-1,21.0,9.1,20213,收录自先秦至明末的散文二百二十二篇,https://book.douban.com/subject/1014561/,1987.0,吴楚材,,1-5万,20-40元,1980.0年代,9分以上神作,3,1,39.18124006157238,"['百二十二', '秦至明末', '收录自先']"
恶意,[日] 东野圭吾,娄美莲,南海出版公司,11.0,8.7,158830,,https://book.douban.com/subject/26877752/,,[日] 东野圭吾,,10-50万,0-20元,未知,8.5-9分优秀,1,4,45.24811306232297,[]
李光耀观天下,李光耀,北京大学出版社,2015-6,58.0,9.2,18158,,https://book.douban.com/subject/26413154/,2015.0,李光耀,,1-5万,40-60元,2010.0年代,9分以上神作,2,1,39.18342570821333,[]
我的阿勒泰,李娟,云南人民出版社,2010-7,25.0,8.9,33946,描写疆北阿勒泰地区生活和风情的原生态散文集,https://book.douban.com/subject/4884218/,2010.0,李娟,,1-5万,20-40元,2010.0年代,8.5-9分优秀,1,4,40.32401860127966,"['区生活和', '生态散文', '风情的原']"
亲密关系（第6版）,[美] 罗兰·米勒,王伟平,人民邮电出版社,6.0,9.2,31292,,https://book.douban.com/subject/26585065/,,[美] 罗兰·米勒,,1-5万,0-20元,未知,9分以上神作,1,1,41.35798655848068,[]
倾城之恋,张爱玲,北京十月文艺出版社,2012-6-1,29.8,8.9,44606,,https://book.douban.com/subject/10757940/,2012.0,张爱玲,,1-5万,20-40元,2010.0年代,8.5-9分优秀,7,3,41.37960019243759,[]
天生有罪,[南非] 特雷弗·诺亚,董帅,北京联合出版公司,1.0,9.1,24207,,https://book.douban.com/subject/30125030/,,[南非] 特雷弗·诺亚,,1-5万,0-20元,未知,9分以上神作,1,1,39.89386282869449,[]
麦琪的礼物,[美] 欧·亨利,张经浩,上海社会科学院出版社,7.0,8.7,79291,日常的奇迹,https://book.douban.com/subject/1051193/,,[美] 欧·亨利,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.62324788744676,['日常的奇']
社会心理学,[美] 戴维·迈尔斯,张智勇,人民邮电出版社,1.0,9.0,28804,人们是如何思索、影响他人并与他人建立联系的,https://book.douban.com/subject/1476651/,,[美] 戴维·迈尔斯,,1-5万,0-20元,未知,9分以上神作,1,1,40.13507522023977,"['影响他人', '何思索', '并与他人']"
足利女童连续失踪事件,[日] 清水洁,曾玉婷,文汇出版社,7.0,9.0,29565,,https://book.douban.com/subject/35776315/,,[日] 清水洁,,1-5万,0-20元,未知,9分以上神作,1,2,40.23700095001612,[]
